,Field,keVr,Q_y (e-/keVr),error,Y+,Y-,x-,x+,X,df +/- [V/cm],GasF [kV/cm],LiqF [kV/cm],Extr Assumed,Extr PIXeY,adjust-times,EnergyCorr,Ne-_Correct,Upper,Lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahl,60,6.896925857,5.652026851,0.169560806,,,0.172641546,0.240631469,0.2066365075,5,10,5.40540540540541,1,0.903177465303141,1.10720211521704,6.896925857,43.1605211939567,44.4553368333644,41.8657055545489,1.2948156394077,1.2948156394078,1.29481563940775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://inspirehep.net/record/1374815/files/E.Dahlthesis.pdf,60,9.476535847,5.2916775,0.158750325,,,0.234007083,0.22948607,0.2317465765,5,10,5.40540540540541,1,0.903177465303141,1.10720211521704,9.476535847,55.5226114977108,57.1882898426421,53.8569331527795,1.6656783449313,1.6656783449313,1.6656783449313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,12.07362603,4.934439282,0.148033178,,,0.273496925,0.321448569,0.297472747,5,10,5.40540540540541,1,0.903177465303141,1.10720211521704,12.07362603,65.9633093686784,67.9422086435895,63.9844100937673,1.9788992749111,1.9788992749111,1.9788992749111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,14.48470129,4.713695068,0.141410852,,,0.298590045,0.30426219,0.3014261175,5,10,5.40540540540541,1,0.903177465303141,1.10720211521704,14.48470129,75.5958465031124,77.8637218975643,73.3279711086606,2.2678753944519,2.2678753944518,2.26787539445185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,16.8042268,4.581954843,0.137458645,,,0.503520166,0.344831023,0.4241755945,5,10,5.40540540540541,1,0.903177465303141,1.10720211521704,16.8042268,85.2503647699931,87.8078757076973,82.692853832289,2.5575109377042,2.5575109377041,2.55751093770415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,19.28930739,4.413410838,0.132402325,,,0.167856025,0.29391603,0.2308860275,5,10,5.40540540540541,1,0.903177465303141,1.10720211521704,19.28930739,94.2579299893917,97.0856678860834,91.4301920926999,2.8277378966917,2.8277378966918,2.82773789669175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,21.55198533,4.288910172,0.128667305,,,0.379420984,0.324932677,0.3521768305,5,10,5.40540540540541,1,0.903177465303141,1.10720211521704,21.55198533,102.343706148168,105.414017328795,99.2733949675411,3.070311180627,3.0703111806269,3.07031118062695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,23.81931702,4.147680288,0.124430409,,,0.334870666,0.324344847,0.3296077565,5,10,5.40540540540541,1,0.903177465303141,1.10720211521704,23.81931702,109.385935181983,112.667513246937,106.104357117029,3.281578064954,3.281578064954,3.281578064954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,26.15537406,4.004200575,0.120126017,,,0.287724003,0.321114445,0.304419224,5,10,5.40540540540541,1,0.903177465303141,1.10720211521704,26.15537406,115.95878758472,119.437551205021,112.480023964418,3.478763620301,3.478763620302,3.4787636203015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,28.25737067,3.971099867,0.119132996,,,0.277801974,0.330016092,0.303909033,5,10,5.40540540540541,1,0.903177465303141,1.10720211521704,28.25737067,124.242294809408,127.969563653378,120.515025965439,3.72726884397,3.727268843969,3.7272688439695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
